# WHO growth reference table, vendored for PoshanNetra AI (Section 6.4).
# source_url: https://cdn.who.int/media/docs/default-source/child-growth/growth-reference-5-19-years/weight-for-age-(5-10-years)/hfa-girls-z-who-2007-exp_7ea58763-36a2-436d-bef0-7fcfbadd2820.xlsx
# retrieved: 2026-08-28
# sha256(source_xlsx): d747e068fcef4238cbaf1c201dd7788f266d9903685f4495360614eed0153562
# key column 'Month' is in months; rows: 60
# sd* columns are WHO's OWN published cut-offs, kept only so the test
# suite can prove our LMS implementation reproduces them exactly.
key,l,m,s,sd3neg,sd2neg,sd2pos,sd3pos
61,-0.4681,18.2579,0.14295,12.352,13.961,24.817,29.468
62,-0.4711,18.4329,0.1435,12.456,14.083,25.09,29.823
63,-0.4742,18.6073,0.14404,12.559,14.204,25.363,30.178
64,-0.4773,18.7811,0.14459,12.662,14.324,25.637,30.535
65,-0.4803,18.9545,0.14514,12.764,14.444,25.911,30.893
66,-0.4834,19.1276,0.14569,12.866,14.564,26.185,31.253
67,-0.4864,19.3004,0.14624,12.968,14.683,26.46,31.614
68,-0.4894,19.473,0.14679,13.069,14.801,26.735,31.977
69,-0.4924,19.6455,0.14735,13.169,14.919,27.011,32.342
70,-0.4954,19.818,0.1479,13.27,15.038,27.288,32.708
71,-0.4984,19.9908,0.14845,13.371,15.156,27.566,33.077
72,-0.5013,20.1639,0.149,13.471,15.274,27.845,33.448
73,-0.5043,20.3377,0.14955,13.572,15.393,28.126,33.822
74,-0.5072,20.5124,0.1501,13.673,15.512,28.409,34.2
75,-0.51,20.6885,0.15065,13.775,15.632,28.695,34.581
76,-0.5129,20.8661,0.1512,13.878,15.753,28.983,34.968
77,-0.5157,21.0457,0.15175,13.982,15.875,29.276,35.36
78,-0.5185,21.2274,0.1523,14.087,15.998,29.572,35.757
79,-0.5213,21.4113,0.15284,14.193,16.124,29.871,36.158
80,-0.524,21.5979,0.15339,14.301,16.25,30.176,36.568
81,-0.5268,21.7872,0.15393,14.411,16.379,30.485,36.983
82,-0.5294,21.9795,0.15448,14.522,16.51,30.799,37.406
83,-0.5321,22.1751,0.15502,14.635,16.643,31.118,37.836
84,-0.5347,22.374,0.15556,14.75,16.779,31.443,38.274
85,-0.5372,22.5762,0.1561,14.867,16.916,31.773,38.719
86,-0.5398,22.7816,0.15663,14.987,17.056,32.109,39.171
87,-0.5423,22.9904,0.15717,15.108,17.199,32.45,39.632
88,-0.5447,23.2025,0.1577,15.231,17.343,32.796,40.099
89,-0.5471,23.418,0.15823,15.356,17.49,33.149,40.574
90,-0.5495,23.6369,0.15876,15.483,17.639,33.507,41.058
91,-0.5518,23.8593,0.15928,15.612,17.791,33.87,41.549
92,-0.5541,24.0853,0.1598,15.744,17.946,34.239,42.048
93,-0.5563,24.3149,0.16032,15.877,18.102,34.614,42.555
94,-0.5585,24.5482,0.16084,16.013,18.262,34.996,43.072
95,-0.5606,24.7853,0.16135,16.151,18.424,35.383,43.596
96,-0.5627,25.0262,0.16186,16.291,18.588,35.776,44.128
97,-0.5647,25.271,0.16237,16.434,18.756,36.176,44.67
98,-0.5667,25.5197,0.16287,16.579,18.926,36.582,45.22
99,-0.5686,25.7721,0.16337,16.726,19.098,36.994,45.778
100,-0.5704,26.0284,0.16386,16.875,19.274,37.412,46.343
101,-0.5722,26.2883,0.16435,17.027,19.452,37.836,46.918
102,-0.574,26.5519,0.16483,17.181,19.632,38.265,47.499
103,-0.5757,26.819,0.16532,17.337,19.815,38.702,48.092
104,-0.5773,27.0896,0.16579,17.495,20.001,39.142,48.688
105,-0.5789,27.3635,0.16626,17.655,20.188,39.589,49.293
106,-0.5804,27.6406,0.16673,17.817,20.378,40.041,49.906
107,-0.5819,27.9208,0.16719,17.98,20.57,40.497,50.525
108,-0.5833,28.204,0.16764,18.146,20.764,40.958,51.149
109,-0.5847,28.4901,0.16809,18.313,20.96,41.424,51.781
110,-0.5859,28.7791,0.16854,18.482,21.158,41.895,52.419
111,-0.5872,29.0711,0.16897,18.653,21.359,42.37,53.063
112,-0.5883,29.3663,0.16941,18.825,21.561,42.851,53.714
113,-0.5895,29.6646,0.16983,19,21.766,43.335,54.371
114,-0.5905,29.9663,0.17025,19.176,21.973,43.826,55.035
115,-0.5915,30.2715,0.17066,19.355,22.183,44.321,55.705
116,-0.5925,30.5805,0.17107,19.536,22.395,44.823,56.385
117,-0.5934,30.8934,0.17146,19.72,22.61,45.329,57.069
118,-0.5942,31.2105,0.17186,19.906,22.828,45.843,57.764
119,-0.595,31.5319,0.17224,20.095,23.049,46.363,58.465
120,-0.5958,31.8578,0.17262,20.286,23.274,46.89,59.177
